SURVEY_ID,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_RUN_ID,RUN_NUMBER,BANDED_MEASURED_ID,BAND_LENGTH_START,BAND_LENGTH_END,BAND_FISH_COUNT,AGE_BAND
118790,451501,283,591764,1,163988,75,79,1,
118790,451501,283,591765,2,164039,75,79,1,
118790,451502,181,591766,1,163989,65,69,1,
118790,451502,181,591766,1,163990,70,74,8,
118790,451502,181,591766,1,163991,75,79,11,
118790,451502,181,591766,1,163992,80,84,3,
118790,451502,181,591766,1,163993,85,89,9,
118790,451502,181,591766,1,163994,90,94,14,
118790,451502,181,591766,1,163995,95,99,38,
118790,451502,181,591766,1,163996,100,104,85,
118790,451502,181,591766,1,163997,105,109,31,
118790,451502,181,591766,1,163998,110,114,18,
118790,451502,181,591766,1,163999,115,119,13,
118790,451502,181,591766,1,164000,120,124,12,
118790,451502,181,591766,1,164001,125,129,4,
118790,451502,181,591766,1,164002,130,134,10,
118790,451502,181,591766,1,164003,135,139,3,
118790,451502,181,591766,1,164004,140,144,1,
118790,451502,181,591766,1,164005,145,149,1,
118790,451502,181,591767,2,164040,70,74,8,
118790,451502,181,591767,2,164041,75,79,1,
118790,451502,181,591767,2,164042,80,84,17,
118790,451502,181,591767,2,164043,85,89,24,
118790,451502,181,591767,2,164044,90,94,30,
118790,451502,181,591767,2,164045,95,99,9,
118790,451502,181,591767,2,164046,100,104,2,
118790,451502,181,591767,2,164047,105,109,3,
118790,451502,181,591767,2,164048,110,114,4,
118790,451503,152,591768,1,164006,75,79,1,
118790,451503,152,591768,1,164007,80,84,1,
118790,451503,152,591768,1,164008,85,89,3,
118790,451503,152,591768,1,164009,90,94,1,
118790,451503,152,591768,1,164010,95,99,1,
118790,451503,152,591769,2,164049,85,89,1,
118790,451504,153,591770,1,164018,105,109,1,
118790,451504,153,591770,1,164019,110,114,1,
118790,451504,153,591771,2,164050,85,89,1,
118790,451505,213,591772,1,164020,215,219,1,
118790,451505,213,591772,1,164021,220,224,1,
118790,451506,211,591774,1,164022,155,159,1,
118790,451507,199,591776,1,164023,120,124,1,
118790,451508,194,591778,1,164024,60,64,1,
118790,451508,194,591778,1,164025,65,69,9,
118790,451508,194,591778,1,164026,70,74,67,
118790,451508,194,591778,1,164027,75,79,118,
118790,451508,194,591778,1,164028,80,84,72,
118790,451508,194,591778,1,164029,85,89,25,
118790,451508,194,591778,1,164030,90,94,9,
118790,451508,194,591778,1,164031,95,99,0,
118790,451508,194,591778,1,164032,100,104,0,
118790,451508,194,591778,1,164033,105,109,0,
118790,451508,194,591778,1,164034,110,114,2,
118790,451508,194,591778,1,164035,115,119,2,
118790,451508,194,591778,1,164036,120,124,2,
118790,451508,194,591778,1,164037,125,129,2,
118790,451508,194,591778,1,164038,160,164,1,
118790,451508,194,591779,2,164051,65,69,3,
118790,451508,194,591779,2,164052,70,74,22,
118790,451508,194,591779,2,164053,75,79,32,
118790,451508,194,591779,2,164054,80,84,8,
77071,249631,194,272344,1,24344,60,64,1,
77071,249631,194,272344,1,24345,65,69,15,
77071,249631,194,272344,1,24346,70,74,18,
77071,249631,194,272344,1,24347,75,79,19,
77071,249631,194,272344,1,24348,80,84,11,
77071,249631,194,272344,1,24349,85,89,5,
77071,249631,194,272344,1,24350,90,94,5,
77071,249631,194,272344,1,24351,95,99,10,
77071,249631,194,272344,1,24352,100,104,7,
77071,249631,194,272344,1,24353,105,109,1,
77071,249631,194,272344,1,24354,110,114,0,
77071,249631,194,272344,1,24355,115,119,1,
77071,249631,194,272345,2,24374,55,59,1,
77071,249631,194,272345,2,24375,60,64,1,
77071,249631,194,272345,2,24376,65,69,1,
77071,249631,194,272345,2,24377,70,74,5,
77071,249631,194,272345,2,24378,75,79,2,
77071,249631,194,272345,2,24379,80,84,1,
77071,249631,194,272345,2,24380,85,89,1,
77071,249631,194,272345,2,24381,90,94,1,
77071,249632,211,272346,1,24356,70,74,5,
77071,249632,211,272346,1,24357,75,79,1,
77071,249632,211,272346,1,24358,80,84,0,
77071,249632,211,272346,1,24359,85,89,0,
77071,249632,211,272346,1,24360,90,94,0,
77071,249632,211,272346,1,24361,95,99,0,
77071,249632,211,272346,1,24362,100,104,0,
77071,249632,211,272346,1,24363,105,109,1,
77071,249632,211,272347,2,24382,70,74,1,
77071,249632,211,272347,2,24383,75,79,1,
77071,249632,211,272347,2,24384,80,84,0,
77071,249632,211,272347,2,24385,85,89,2,
77071,249633,181,272348,1,24364,100,104,5,
77071,249633,181,272348,1,24365,105,109,4,
77071,249633,181,272348,1,24366,110,114,6,
77071,249633,181,272348,1,24367,115,119,5,
77071,249633,181,272348,1,24368,120,124,2,
77071,249633,181,272348,1,24369,125,129,0,
77071,249633,181,272348,1,24370,130,134,1,
77071,249633,181,272348,1,24371,135,139,1,
77071,249634,199,272350,1,24372,70,74,1,
77071,249635,153,272352,1,24373,140,144,2,
77071,249639,478,272361,2,24386,60,64,1,
114143,429957,181,555022,1,148968,90,94,1,
114143,429957,181,555022,1,148969,95,99,5,
114143,429957,181,555022,1,148970,100,104,5,
114143,429957,181,555022,1,148971,105,109,13,
114143,429957,181,555022,1,148972,110,114,14,
114143,429957,181,555022,1,148973,115,119,18,
114143,429957,181,555022,1,148974,120,124,10,
114143,429957,181,555022,1,148975,125,129,13,
114143,429957,181,555022,1,148976,130,134,4,
114143,429957,181,555022,1,148977,135,139,2,
114143,429957,181,555023,2,149111,95,99,2,
114143,429957,181,555023,2,149112,100,104,0,
114143,429957,181,555023,2,149113,105,109,0,
114143,429957,181,555023,2,149114,110,114,2,
114143,429957,181,555023,2,149115,115,119,0,
114143,429957,181,555023,2,149116,120,124,2,
114143,429957,181,555023,2,149117,125,129,0,
114143,429957,181,555023,2,149118,130,134,1,
114143,429958,283,555024,1,148978,85,89,1,
114143,429959,152,555026,1,148979,180,184,1,
114143,429959,152,555026,1,148980,210,214,1,
114143,429960,182,555028,1,148981,95,99,1,
114143,429960,182,555028,1,148982,100,104,2,
114143,429960,182,555028,1,148983,105,109,2,
114143,429960,182,555028,1,148984,110,114,0,
114143,429960,182,555028,1,148985,115,119,0,
114143,429960,182,555028,1,148986,120,124,0,
114143,429960,182,555028,1,148987,125,129,1,
114143,429960,182,555028,1,148988,130,134,2,
114143,429960,182,555028,1,148989,135,139,0,
114143,429960,182,555028,1,148990,140,144,0,
114143,429960,182,555028,1,148991,145,149,0,
114143,429960,182,555028,1,148992,150,154,0,
114143,429960,182,555028,1,148993,155,159,0,
114143,429960,182,555028,1,148994,160,164,0,
114143,429960,182,555028,1,148995,165,169,0,
114143,429960,182,555028,1,148996,170,174,0,
114143,429960,182,555028,1,148997,175,179,0,
114143,429960,182,555028,1,148998,180,184,0,
114143,429960,182,555028,1,148999,185,189,0,
114143,429960,182,555028,1,149000,190,194,0,
114143,429960,182,555028,1,149001,195,199,0,
114143,429960,182,555028,1,149002,200,204,0,
114143,429960,182,555028,1,149003,205,209,0,
114143,429960,182,555028,1,149004,210,214,0,
114143,429960,182,555028,1,149005,215,219,0,
114143,429960,182,555028,1,149006,220,224,0,
114143,429960,182,555028,1,149007,225,229,0,
114143,429960,182,555028,1,149008,230,234,0,
114143,429960,182,555028,1,149009,235,239,0,
114143,429960,182,555028,1,149010,240,244,0,
114143,429960,182,555028,1,149011,245,249,1,
114143,429960,182,555029,2,149119,110,114,1,
114143,429960,182,555029,2,149120,115,119,0,
114143,429960,182,555029,2,149121,120,124,0,
114143,429960,182,555029,2,149122,125,129,1,
114143,429960,182,555029,2,149123,130,134,1,
114143,429960,182,555029,2,149124,135,139,1,
114143,429960,182,555029,2,149125,140,144,1,
114143,429961,193,555030,1,149012,95,99,3,
114143,429961,193,555030,1,149126,100,104,1,
114143,429961,193,555030,1,149127,120,124,1,
114143,429961,193,555031,2,149128,95,99,1,
114143,429962,211,555032,1,149013,65,69,1,
114143,429962,211,555032,1,149014,70,74,0,
114143,429962,211,555032,1,149015,75,79,3,
114143,429962,211,555032,1,149016,80,84,0,
114143,429962,211,555032,1,149017,85,89,0,
114143,429962,211,555032,1,149018,90,94,1,
114143,429962,211,555032,1,149019,95,99,0,
114143,429962,211,555032,1,149020,100,104,0,
114143,429962,211,555032,1,149021,105,109,0,
114143,429962,211,555032,1,149022,110,114,0,
114143,429962,211,555032,1,149023,115,119,0,
114143,429962,211,555032,1,149024,120,124,0,
114143,429962,211,555032,1,149025,125,129,0,
114143,429962,211,555032,1,149026,130,134,1,
114143,429962,211,555032,1,149027,135,139,4,
114143,429962,211,555032,1,149028,140,144,0,
114143,429962,211,555032,1,149029,145,149,0,
114143,429962,211,555032,1,149030,150,154,1,
114143,429962,211,555032,1,149031,155,159,1,
114143,429962,211,555032,1,149032,160,164,1,
114143,429962,211,555033,2,149129,90,94,1,
114143,429962,211,555033,2,149130,95,99,0,
114143,429962,211,555033,2,149131,100,104,0,
114143,429962,211,555033,2,149132,105,109,0,
114143,429962,211,555033,2,149133,110,114,1,
114143,429962,211,555033,2,149134,115,119,2,
114143,429962,211,555033,2,149135,120,124,1,
114143,429963,213,555034,1,149033,150,154,1,
114143,429963,213,555034,1,149034,325,329,1,
114143,429963,213,555034,1,149035,430,434,1,
114143,429963,213,555034,1,149036,495,499,1,
114143,429963,213,555034,1,149037,510,514,1,
114143,429963,213,555034,1,149038,515,519,1,
